iter	Passed	Remaining
0	156	156677
1	158	79125
2	160	53309
3	162	40406
4	164	32647
5	165	27485
6	167	23786
7	169	21006
8	170	18826
9	172	17088
10	174	15658
11	175	14463
12	177	13451
13	178	12588
14	180	11856
15	182	11205
16	183	10632
17	185	10124
18	187	9659
19	188	9245
20	190	8867
21	191	8529
22	193	8232
23	195	7951
24	197	7698
25	198	7453
26	200	7230
27	202	7016
28	203	6824
29	205	6641
30	207	6473
31	208	6318
32	210	6171
33	212	6033
34	214	5902
35	215	5778
36	217	5664
37	219	5553
38	221	5453
39	223	5353
40	224	5259
41	226	5174
42	228	5086
43	230	5003
44	232	4929
45	234	4854
46	235	4780
47	237	4709
48	239	4648
49	241	4591
50	243	4529
51	245	4468
52	246	4412
53	248	4358
54	250	4304
55	252	4254
56	254	4204
57	256	4157
58	257	4111
59	260	4077
60	262	4040
61	264	3994
62	265	3953
63	267	3911
64	269	3879
65	271	3845
66	273	3810
67	275	3770
68	277	3741
69	279	3710
70	281	3677
71	282	3644
72	284	3613
73	286	3582
74	288	3552
75	289	3525
76	291	3498
77	293	3468
78	295	3439
79	296	3412
80	298	3389
81	300	3366
82	302	3342
83	304	3318
84	305	3287
85	307	3263
86	308	3233
87	310	3213
88	311	3191
89	313	3173
90	315	3151
91	317	3130
92	318	3108
93	320	3087
94	321	3066
95	323	3045
96	324	3024
97	326	3003
98	328	2985
99	330	2972
100	331	2953
101	332	2928
102	334	2912
103	336	2895
104	337	2879
105	339	2864
106	341	2848
107	343	2833
108	344	2818
109	346	2802
110	348	2787
111	349	2772
112	351	2758
113	353	2744
114	354	2729
115	356	2713
116	358	2701
117	360	2694
118	362	2681
119	363	2668
120	365	2656
121	367	2644
122	368	2626
123	370	2613
124	372	2609
125	375	2607
126	377	2598
127	379	2583
128	380	2571
129	382	2562
130	384	2551
131	386	2544
132	389	2538
133	391	2529
134	393	2519
135	395	2509
136	396	2499
137	398	2487
138	399	2476
139	401	2468
140	403	2459
141	405	2449
142	407	2439
143	408	2430
144	411	2424
145	413	2416
146	415	2408
147	417	2400
148	418	2392
149	420	2384
150	422	2375
151	424	2367
152	426	2359
153	428	2352
154	431	2352
155	434	2349
156	436	2342
157	438	2337
158	440	2330
159	442	2324
160	444	2317
161	446	2310
162	448	2304
163	450	2296
164	452	2288
165	453	2280
166	455	2272
167	457	2264
168	459	2257
169	461	2251
170	463	2245
171	464	2238
172	467	2233
173	469	2227
174	471	2221
175	473	2214
176	475	2212
177	477	2205
178	479	2199
179	481	2192
180	482	2184
181	484	2176
182	485	2169
183	487	2162
184	489	2157
185	491	2150
186	493	2146
187	495	2140
188	497	2134
189	498	2127
190	500	2121
191	502	2115
192	505	2111
193	507	2106
194	508	2101
195	510	2094
196	512	2088
197	514	2084
198	516	2079
199	518	2074
200	521	2072
201	523	2067
202	525	2062
203	527	2057
204	529	2052
205	530	2045
206	532	2040
207	534	2036
208	536	2032
209	538	2027
210	540	2022
211	542	2017
212	544	2010
213	545	2005
214	548	2001
215	550	1999
216	552	1995
217	554	1989
218	556	1984
219	557	1978
220	560	1974
221	562	1970
222	564	1967
223	566	1963
224	568	1958
225	570	1952
226	571	1946
227	573	1941
228	574	1935
229	576	1930
230	578	1926
231	580	1922
232	584	1922
233	586	1918
234	587	1913
235	589	1909
236	591	1905
237	594	1903
238	596	1898
239	598	1896
240	600	1890
241	602	1886
242	604	1882
243	605	1877
244	607	1873
245	610	1869
246	611	1864
247	613	1859
248	614	1854
249	616	1848
250	618	1844
251	619	1839
252	621	1835
253	624	1834
254	626	1829
255	628	1825
256	630	1822
257	632	1817
258	634	1814
