iter	Passed	Remaining
0	133	133153
1	134	67159
2	135	45102
3	136	34088
4	138	27481
5	139	23159
6	142	20154
7	143	17799
8	144	15925
9	145	14423
10	146	13193
11	147	12175
12	149	11321
13	150	10591
14	151	9963
15	153	9434
16	156	9047
17	157	8604
18	159	8214
19	160	7862
20	161	7546
21	163	7250
22	164	6984
23	165	6731
24	166	6498
25	169	6336
26	170	6157
27	172	5979
28	173	5813
29	174	5653
30	175	5500
31	177	5363
32	178	5230
33	179	5103
34	180	4983
35	182	4882
36	184	4811
37	186	4716
38	187	4625
39	188	4533
40	190	4447
41	191	4368
42	192	4292
43	194	4215
44	195	4143
45	197	4092
46	198	4034
47	200	3979
48	202	3923
49	203	3867
50	205	3815
51	206	3763
52	207	3713
53	209	3665
54	212	3645
55	213	3605
56	215	3560
57	216	3517
58	217	3473
59	218	3429
60	220	3389
61	221	3350
62	222	3311
63	224	3280
64	225	3249
65	227	3217
66	228	3186
67	229	3152
68	231	3120
69	232	3090
70	233	3058
71	235	3029
72	236	3002
73	237	2976
74	239	2958
75	242	2943
76	243	2915
77	244	2890
78	245	2866
79	247	2844
80	248	2821
81	250	2802
82	251	2774
83	252	2754
84	256	2759
85	258	2746
86	259	2726
87	260	2704
88	262	2685
89	263	2664
90	264	2646
91	266	2627
92	267	2608
93	271	2613
94	272	2595
95	273	2579
96	275	2562
97	276	2547
98	278	2530
99	279	2513
100	280	2498
101	282	2482
102	284	2473
103	285	2463
104	287	2449
105	288	2434
106	290	2420
107	291	2407
108	292	2394
109	294	2382
110	295	2369
111	297	2362
112	300	2356
113	301	2345
114	303	2334
115	305	2324
116	306	2310
117	307	2297
118	308	2284
119	310	2274
120	311	2261
121	312	2248
122	314	2243
123	316	2232
124	317	2222
125	318	2211
126	319	2198
127	320	2186
128	322	2175
129	323	2165
130	324	2155
131	326	2144
132	329	2150
133	331	2144
134	333	2135
135	334	2128
136	336	2119
137	338	2111
138	339	2101
139	341	2097
140	344	2097
141	345	2087
142	347	2081
143	348	2072
144	349	2063
145	351	2055
146	352	2047
147	354	2038
148	355	2030
149	358	2031
150	360	2025
151	361	2017
152	362	2009
153	364	2000
154	365	1991
155	366	1984
156	368	1976
157	369	1967
158	370	1958
159	373	1962
160	375	1955
161	376	1947
162	377	1940
163	379	1934
164	381	1928
165	382	1922
166	384	1917
167	387	1917
168	389	1915
169	391	1909
170	392	1902
171	393	1895
172	395	1889
173	396	1883
174	397	1876
175	400	1874
176	403	1878
177	405	1873
178	407	1867
179	408	1861
180	409	1854
181	411	1847
182	412	1840
183	417	1851
184	419	1849
185	421	1842
186	422	1835
187	423	1830
188	425	1824
189	426	1817
190	427	1810
191	430	1811
192	433	1813
193	435	1808
194	436	1802
195	437	1796
196	439	1791
197	440	1784
198	441	1778
199	445	1780
200	447	1778
201	449	1774
202	450	1769
203	452	1764
204	453	1759
205	454	1753
206	456	1750
207	461	1756
208	463	1754
209	465	1750
210	466	1745
211	468	1741
212	470	1737
213	471	1733
214	477	1742
215	480	1743
216	482	1739
217	483	1734
218	485	1730
219	486	1726
220	489	1724
221	491	1724
222	494	1721
223	495	1717
224	496	1711
225	498	1706
226	499	1702
227	501	1696
228	502	1691
229	504	1687
230	506	1687
231	508	1683
232	510	1679
233	511	1674
234	513	1671
235	514	1666
236	516	1661
237	519	1664
238	523	1666
239	525	1662
240	526	1657
241	527	1652
242	529	1649
243	530	1644
244	532	1642
245	536	1643
246	539	1643
247	540	1638
248	541	1633
249	542	1628
250	544	1624
251	545	1619
252	547	1615
253	551	1619
254	554	1620
255	556	1616
256	557	1611
257	558	1606
258	559	1602
259	561	1597
260	565	1601
261	567	1599
262	569	1596
263	571	1592
264	572	1589
265	574	1585
266	576	1581
267	579	1582
268	580	1578
269	582	1574
270	583	1570
271	585	1566
272	586	1562
273	588	1558
274	589	1554
275	590	1550
276	595	1555
277	597	1552
278	599	1549
279	600	1545
280	602	1540
281	603	1536
282	605	1533
283	606	1529
284	610	1531
285	612	1528
286	613	1524
287	615	1521
288	616	1517
289	618	1513
290	619	1509
291	620	1505
292	626	1510
293	628	1508
294	629	1504
295	631	1501
296	632	1498
297	634	1494
298	635	1490
299	641	1496
300	643	1493
301	644	1490
302	646	1486
303	647	1482
304	648	1478
305	650	1474
306	651	1470
307	656	1475
308	658	1472
309	660	1469
310	661	1465
311	662	1461
312	664	1457
313	665	1453
314	666	1449
315	669	1448
316	671	1447
317	673	1443
318	674	1440
319	676	1437
320	677	1433
321	679	1430
322	680	1426
323	683	1425
324	684	1421
325	685	1418
326	687	1414
327	688	1410
328	690	1407
329	691	1403
330	692	1400
331	694	1397
332	696	1394
333	697	1391
334	699	1389
335	701	1386
336	703	1384
337	704	1380
338	706	1376
339	707	1373
340	708	1369
341	709	1365
342	711	1362
343	712	1359
344	714	1355
345	715	1352
346	716	1348
347	717	1344
348	719	1341
349	720	1337
350	721	1334
351	723	1331
352	740	1358
353	742	1354
354	743	1350
